control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CHWP-1-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CHWP-2-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CHWP-3-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CHWP-4-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CWP-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CWP-2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CWP-3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CWP-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CH-1 PANEL,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CH-2 PANEL,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,CH-3 PANEL,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,RMS,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,BTU-2 METER,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.20,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.21,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.22,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.19,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.18,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.17,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.31,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.16,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.15,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.33,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-2,1,First Floor Area D,MS/TP Trunk-1,MS/TP,FCU 1.43,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
