control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,AHU-7 SF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,AHU-7 RF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.10,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.11,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.12,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.13,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.14,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.15,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.16,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.17,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.18,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.19,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-3,4,First/Second Floor Areas D/C/B/A,MS/TP Trunk-1,MS/TP,FCU 2.9,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
