control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,AHU-10 SF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,AHU-10 RF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,CAREL H-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,CAREL H-2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.29,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.37,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.42,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.36,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.32,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.26,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.34,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.25,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.30,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.40,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.24,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.23,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.35,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.27,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.38,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,FCU 1.41,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-9,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-10,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-11,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-12,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-14,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-15,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-16,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-17,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 7-18,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-9,1-2,First Floor Area A,MS/TP Trunk-1,MS/TP,VAV 10-6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
