control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,CP-14 ELE RM-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.9,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.10,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.11,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.12,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.13,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,FCU 1.14,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-14,3,First Floor Area C,MS/TP Trunk-1,MS/TP,VAV 8-12,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
