control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,AHU-11 SF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,AHU-11 EF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,AHU-11-ERW VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,MC-24 DEF-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,MC-24 DEF-2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,CHM500 HYU-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,FCU 1.2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,FCU 1.3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,FCU 1.41,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-9,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-10,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-11,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-12,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-13,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-14,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-16,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-17,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-18,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-19,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-20,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,VAV 11-21,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,EVAV 11-3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,EVAV 11-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-10,3,First Floor Area B,MS/TP Trunk-1,MS/TP,EVAV 11-6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
